x,y
0.231663144,175.5695386
0.487649107,227.8306534
0.56500367,233.0163319
0.780675088,293.1497434
1.022903932,340.094361
1.16584032,373.0122925
1.205877746,481.2229423
1.391676885,459.1755957
1.404665623,464.6151142
1.656099706,494.2768302
1.664618662,553.7015665
1.789823296,524.3609285
1.963429711,577.6243981
2.032102465,593.9949666
2.676360863,712.1100543
2.78035755,658.7788631
3.072060746,743.2665835
5.010762461,905.0715277
5.358461715,976.7455502
5.433222226,901.8185493
5.648739433,947.0712644
5.675303851,955.6737219
5.749882587,942.7194854
5.783074509,956.7669414
5.892584207,906.8179672
6.093713755,956.179283
6.248493602,945.4726
6.338401884,997.3032682
6.355926611,982.2122081
7.084647227,930.9811846
7.205635889,931.1109689
7.275518121,894.2190359
7.39023898,915.2774195
7.442540623,913.8118821
7.4956614,867.3948078
7.531975724,945.2075423
8.0779751,856.0114636
8.09314226,857.382799
8.164753113,820.9329693
8.515774513,849.33831
8.714678776,884.4545743
8.977030896,804.4368058
9.06399275,812.4684488
9.314782094,829.1283421
9.461931409,750.5860778
9.474045033,756.9616598
9.489618672,796.0016174
9.707306616,738.4108331
9.722151676,718.0998172
9.774325242,723.450123
10.23346273,710.0016411
10.28371597,681.6235281
10.32030393,719.2679358
10.37923887,672.3425687
10.49064358,668.6037263
10.52606375,654.2209717
10.72042086,661.2556726
10.96105967,629.3402535
11.03103121,552.1625487
11.12913782,656.7885043
11.19520492,604.8550355
11.5349627,626.5396217
11.57900259,556.2743186
11.89111264,549.3001268
11.99031627,495.3827148
12.16532198,529.0772337
12.22276654,455.4163201
12.72251691,443.7132563
13.10412137,410.4097616
13.1771174,357.3883618
13.4320089,337.4065509
13.47513979,355.5583773
13.68167207,348.5780298
13.97867197,278.7477209
13.9890799,299.8396464
14.00780388,280.3370161
14.42855313,192.8086471
15.02812411,229.0355349
15.24873234,226.0359223
15.43931882,192.389778
15.57473683,157.2284504
15.94328825,118.1670393
15.99120521,206.4957813
15.99236166,107.6023131
16.28018276,135.5410436
16.67630778,133.5282445
16.80616223,77.05958699
16.96238448,130.8144136
17.37883922,123.586109
17.58439141,94.19392525
17.63764508,86.95163127
17.9490692,55.22280245
18.12556483,100.6124834
18.38146559,38.90000809
18.41521938,133.5188533
18.53700114,79.88888562
19.36865443,122.0931668
19.72145853,167.8432949
19.90868616,187.6575437
19.95791775,130.1335679
