x,y
2.834695984,10.57420327
8.77049406,30.89443708
6.537226305,21.69300005
3.801413402,13.2595145
3.097738275,10.62221687
5.072300209,17.26609961
-1.052058116,-1.434691714
4.901964084,17.93531624
4.949564993,16.01205492
1.243148198,6.25933963
4.417793147,15.89480709
4.430167659,15.57296304
0.134326813,1.901049546
2.584876202,9.488206911
4.619427301,16.4838968
-0.732340016,0.607133498
2.289421959,9.830904584
2.826502948,10.82276764
3.530880977,12.394411
2.654152829,10.36455572
1.204191227,5.313568377
5.905261976,20.08700135
4.038703761,12.20451764
2.63515695,11.12650713
5.904480098,20.26417909
1.831491898,7.565890216
2.905451014,10.82996227
5.525778058,18.92169963
-0.765949964,0.986425544
0.890299428,5.179014255
0.954555629,4.982896439
0.010223296,1.169694912
4.110380826,14.75906413
1.132375723,3.935241253
4.877441553,16.83246871
4.149169209,14.32277261
5.814860102,18.48612255
5.463043195,19.92874635
4.804896246,15.20715614
2.44774229,10.46450244
3.439162739,12.87580568
2.060451435,8.7129708
-1.143096654,-2.09589918
0.026726664,2.109926063
-0.827391851,-2.192286017
0.172844732,2.542103843
2.943044188,11.04321086
5.562870998,18.61409424
4.896907536,15.84471731
2.379984479,10.71621889
3.114519078,12.03557367
4.560516518,14.08548894
3.658006099,12.48684899
3.957300957,13.15926263
1.420223781,5.413793765
6.340840025,21.83651683
4.349442117,12.38414405
5.801231158,19.3749372
5.931241377,19.64232989
4.412568483,15.22924611
7.171129886,26.1070831
0.84151077,4.825993219
1.767721879,7.932251843
5.827996594,18.7723928
3.718742112,12.88720452
-0.709194954,-0.719579502
2.151947873,8.136883559
3.126109914,11.27325457
5.963430269,20.21873532
-0.235406034,0.748612366
2.031464389,8.713652533
0.054327313,3.128814902
4.09809887,13.66648757
4.824023124,17.73090895
3.29145952,10.51318053
2.082400878,8.481156145
2.604506169,10.17482192
3.310345711,11.47311562
4.018418032,15.65569538
-0.444408416,2.383796338
2.465800177,7.884704161
1.706761879,5.988905545
3.181482662,10.71944733
0.533763391,3.106463619
1.914480827,7.334431972
5.247156332,18.77869447
0.611148697,2.879586017
4.927186721,15.0877898
4.543953172,16.9317016
1.20462296,5.876687919
2.41877881,10.48639589
0.913017922,3.54487974
2.805466679,9.272038427
2.294402668,9.797515824
5.639610264,19.23704535
3.034890837,11.67391955
1.906540987,6.69232721
7.055386308,22.87633982
1.638118119,7.02119747
5.613524487,19.18134552
3.342907646,11.89025923
4.260927584,14.02574648
4.18594968,14.90841399
5.630537773,18.08066492
3.823635218,10.8771983
-1.219830007,-0.209577963
1.504733785,7.264873498
1.891978251,7.976429259
1.415930469,8.206586324
4.603504045,15.81507491
4.099656311,14.98029009
0.669713866,3.946103831
0.805157499,4.863601454
2.015837982,7.177290995
3.167270962,12.55863975
3.747745044,14.3780442
2.760424293,10.03215923
-0.508749695,1.933898843
-0.640711853,0.997762882
1.82708681,7.105088425
3.542514863,12.89768352
2.489555485,9.91393032
0.642442488,1.714192208
5.643028356,18.99757435
0.173986486,1.101853876
1.681411163,6.566685348
3.070053464,11.15106772
1.992173439,7.505700918
3.859031486,13.12402104
-0.740551623,1.626356025
4.398720577,16.10986458
0.917476476,3.223406409
5.284777002,17.54474156
2.581950735,8.83282345
1.757688909,6.274541764
1.361273139,6.564688186
0.977326,4.359206731
2.676302061,10.89166887
1.157155241,3.196786632
1.409688873,6.753701646
3.48069333,11.61452953
5.438287844,18.3864985
3.689703049,11.97529148
1.581607526,5.578835326
1.369309655,5.457008598
3.859890864,13.87502027
3.383166314,13.35331047
4.032939195,14.93687661
6.026047706,19.75309196
